"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"10513099999","1990-01-01","50.865917","7.142744","92.04","KOLN BONN, GM","  32.0","24","  30.1","24","9999.9"," 0","999.9"," 0","  5.3","24","  5.8","24","  8.9","999.9","  33.8","*","  30.2","*"," 0.00","F","999.9","010000"
"10513099999","1990-01-02","50.865917","7.142744","92.04","KOLN BONN, GM","  33.8","24","  31.8","24","9999.9"," 0","999.9"," 0","  3.6","24","  4.5","24","  9.9","999.9","  35.6","*","  32.0","*"," 0.00","G","999.9","110000"
"10513099999","1990-01-03","50.865917","7.142744","92.04","KOLN BONN, GM","  33.3","24","  29.9","24","9999.9"," 0","999.9"," 0","  5.9","24"," 10.3","24"," 15.9","999.9","  35.6","*","  31.3","*"," 0.00","G","999.9","100000"
"10513099999","1990-01-04","50.865917","7.142744","92.04","KOLN BONN, GM","  31.9","24","  27.2","24","9999.9"," 0","999.9"," 0","  5.2","24"," 10.1","24"," 17.1","999.9","  35.6","*","  30.0","*"," 0.00","D","999.9","010000"
"10513099999","1990-01-05","50.865917","7.142744","92.04","KOLN BONN, GM","  34.8","24","  31.8","24","9999.9"," 0","999.9"," 0","  4.4","24","  3.8","24","  6.0","999.9","  37.6"," ","  30.0"," "," 0.00","G","999.9","010000"
"10513099999","1990-01-06","50.865917","7.142744","92.04","KOLN BONN, GM","  34.4","24","  31.1","24","9999.9"," 0","999.9"," 0","  6.6","24"," 11.5","24"," 15.0","999.9","  36.3"," ","  32.0","*"," 0.00","G","999.9","000000"
"10513099999","1990-01-07","50.865917","7.142744","92.04","KOLN BONN, GM","  33.9","24","  29.7","24","9999.9"," 0","999.9"," 0","  6.2","24"," 10.7","24"," 15.9","999.9","  39.7"," ","  31.8","*"," 0.00","D","999.9","000000"
"10513099999","1990-01-08","50.865917","7.142744","92.04","KOLN BONN, GM","  37.9","24","  34.0","24","9999.9"," 0","999.9"," 0","  6.0","24","  7.1","24","  9.9","999.9","  44.6","*","  31.8"," "," 0.00","G","999.9","010000"
"10513099999","1990-01-09","50.865917","7.142744","92.04","KOLN BONN, GM","  41.6","24","  38.5","24","9999.9"," 0","999.9"," 0","  5.4","24","  5.3","24"," 11.1","999.9","  46.4"," ","  38.8"," "," 0.02","G","999.9","010000"
"10513099999","1990-01-10","50.865917","7.142744","92.04","KOLN BONN, GM","  40.2","24","  37.4","24","9999.9"," 0","999.9"," 0","  4.8","24","  5.9","24","  8.0","999.9","  42.8"," ","  37.4","*"," 0.04","G","999.9","010010"
"10513099999","1990-01-11","50.865917","7.142744","92.04","KOLN BONN, GM","  41.3","24","  35.9","24","9999.9"," 0","999.9"," 0","  8.1","24","  6.4","24","  8.9","999.9","  44.6","*","  37.9"," "," 0.01","G","999.9","010000"
"10513099999","1990-01-12","50.865917","7.142744","92.04","KOLN BONN, GM","  35.2","24","  31.2","24","9999.9"," 0","999.9"," 0","  7.2","24","  8.7","24"," 13.0","999.9","  41.4","*","  30.2","*"," 0.00","G","999.9","000000"
"10513099999","1990-01-13","50.865917","7.142744","92.04","KOLN BONN, GM","  34.5","24","  31.7","24","1028.1"," 4","015.5"," 4","  6.2","24","  6.8","24"," 11.1","999.9","  39.2","*","  29.7"," "," 0.00","D","999.9","000000"
"10513099999","1990-01-14","50.865917","7.142744","92.04","KOLN BONN, GM","  37.7","24","  35.5","24","9999.9"," 0","999.9"," 0","  5.3","24","  4.7","24","  8.0","999.9","  41.0","*","  31.6"," "," 0.00","C","999.9","010000"
"10513099999","1990-01-15","50.865917","7.142744","92.04","KOLN BONN, GM","  40.2","24","  37.5","24","9999.9"," 0","999.9"," 0","  6.6","24","  7.4","24"," 11.1","999.9","  48.2","*","  33.6"," "," 0.04","F","999.9","010000"
"10513099999","1990-01-16","50.865917","7.142744","92.04","KOLN BONN, GM","  49.9","24","  45.0","24","9999.9"," 0","999.9"," 0","  7.8","24","  7.1","24"," 14.0"," 27.0","  51.8"," ","  43.2"," "," 0.00","F","999.9","010000"
